Round,Round Name,Home Team,Away Team,UTC Time,Finished,Started,Cancelled,Awarded,Score,Match Status,,,,
15,15,Salernitana,Bologna,2023-12-10T17:00:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time,,,,
15,15,Roma,Fiorentina,2023-12-10T19:45:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time,,,,
15,15,Empoli,Lecce,2023-12-11T17:30:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time,,,,
15,15,Cagliari,Sassuolo,2023-12-11T19:45:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time,,,,
16,16,Genoa,Juventus,2023-12-15T19:45:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time,,,,
16,16,Lecce,Frosinone,2023-12-16T14:00:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time,,,,
16,16,Napoli,Cagliari,2023-12-16T17:30:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time,,,,
16,16,Torino,Empoli,2023-12-16T19:45:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time,,,,
16,16,Milan,Monza,2023-12-17T11:30:00Z,TRUE,TRUE,FALSE,FALSE,3_0,Full-Time,,,,
16,16,Fiorentina,Hellas Verona,2023-12-17T14:00:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time,,,,
16,16,Udinese,Sassuolo,2023-12-17T14:00:00Z,TRUE,TRUE,FALSE,FALSE,2_2,Full-Time,,,,
16,16,Bologna,Roma,2023-12-17T17:00:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time,,,,
16,16,Lazio,Inter,2023-12-17T19:45:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 2,Full-Time,,,,
16,16,Atalanta,Salernitana,2023-12-18T19:45:00Z,TRUE,TRUE,FALSE,FALSE,4_1,Full-Time,,,,
17,17,Empoli,Lazio,2023-12-22T17:30:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 2,Full-Time,,,,
17,17,Sassuolo,Genoa,2023-12-22T17:30:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time,,,,
17,17,Monza,Fiorentina,2023-12-22T19:45:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time,,,,
17,17,Salernitana,Milan,2023-12-22T19:45:00Z,TRUE,TRUE,FALSE,FALSE,2_2,Full-Time,,,,
17,17,Frosinone,Juventus,2023-12-23T11:30:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time,,,,
17,17,Bologna,Atalanta,2023-12-23T14:00:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time,,,,
17,17,Torino,Udinese,2023-12-23T14:00:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time,,,,
17,17,Hellas Verona,Cagliari,2023-12-23T17:00:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time,,,,
17,17,Inter,Lecce,2023-12-23T17:00:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time,,,,
17,17,Roma,Napoli,2023-12-23T19:45:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time,,,,
18,18,Fiorentina,Torino,2023-12-29T17:30:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time,,,,
18,18,Napoli,Monza,2023-12-29T17:30:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time,,,,
18,18,Genoa,Inter,2023-12-29T19:45:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time,,,,
18,18,Lazio,Frosinone,2023-12-29T19:45:00Z,TRUE,TRUE,FALSE,FALSE,3_1,Full-Time,,,,
18,18,Atalanta,Lecce,2023-12-30T11:30:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time,,,,
18,18,Cagliari,Empoli,2023-12-30T14:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time,,,,
18,18,Udinese,Bologna,2023-12-30T14:00:00Z,TRUE,TRUE,FALSE,FALSE,3_0,Full-Time,,,,
18,18,Milan,Sassuolo,2023-12-30T17:00:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time,,,,
18,18,Hellas Verona,Salernitana,2023-12-30T17:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time,,,,
18,18,Juventus,Roma,2023-12-30T19:45:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time,,,,
19,19,Bologna,Genoa,2024-01-05T19:45:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time,,,,
19,19,Inter,Hellas Verona,2024-01-06T11:30:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time,,,,
19,19,Frosinone,Monza,2024-01-06T14:00:00Z,TRUE,TRUE,FALSE,FALSE,2_3,Full-Time,,,,
19,19,Lecce,Cagliari,2024-01-06T17:00:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time,,,,
19,19,Sassuolo,Fiorentina,2024-01-06T19:45:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time,,,,
19,19,Empoli,Milan,2024-01-07T11:30:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 3,Full-Time,,,,
