Rank,Player,Team,Fouls Committed per 90,Yellow Cards,Minutes,Matches,Country
303,Berat Djimsiti,Atalanta,0.5,4.0,2831,37,ALB
303,Matias Soulé,Frosinone,0.5,4.0,3136,36,ARG
305,Mathias Olivera,Napoli,0.5,3.0,1572,23,URU
305,Paulo Dybala,Roma,0.5,3.0,1973,28,ARG
305,Valentino Lazaro,Torino,0.5,3.0,1989,35,AUT
308,Federico Chiesa,Juventus,0.5,1.0,2207,33,ITA
308,Kristjan Asllani,Internazionale,0.5,1.0,771,23,ALB
308,Paulo Azzi,Cagliari,0.5,1.0,936,25,BRA
311,Federico Dimarco,Internazionale,0.5,0.0,2105,30,ITA
311,Leonardo Spinazzola,Roma,0.5,0.0,1312,24,ITA
311,Stefan de Vrij,Internazionale,0.5,0.0,1578,25,NED
314,Antonio Candreva,Salernitana,0.4,5.0,2757,34,ITA
314,Raoul Bellanova,Torino,0.4,5.0,3063,37,ITA
316,Patric,Lazio,0.4,4.0,1610,20,ESP
317,Jhon Lucumi,Bologna,0.4,2.0,2214,29,COL
317,Matteo Politano,Napoli,0.4,2.0,2384,37,ITA
319,Jeremy Toljan,Sassuolo,0.4,1.0,2085,25,GER
319,Pol Lirola,Frosinone,0.4,1.0,1538,25,ESP
321,Antonino Gallo,Lecce,0.3,2.0,2500,35,ITA
322,Darko Lazovic,Verona,0.2,0.0,1942,32,SRB
323,Pietro Terracciano,Fiorentina,0.1,3.0,2970,33,ITA
324,Josep Martinez,Genoa,0.1,2.0,3239,36,ESP
325,Maduka Okoye,Udinese,0.0,2.0,1890,21,NGA
326,Mike Maignan,Milan,0.0,1.0,2609,29,FRA
326,Rui Patricio,Roma,0.0,1.0,2070,23,POR
326,Wojciech Szczesny,Juventus,0.0,1.0,3150,35,POL
326,Yann Sommer,Internazionale,0.0,1.0,3060,34,SUI
330,Elia Caprile,Empoli,0.0,0.0,2070,23,ITA
330,Marco Carnesecchi,Atalanta,0.0,0.0,2426,27,ITA
