Rank,Player,Team,Shots per 90,Shot Conversion Rate (%),Minutes,Matches,Country
262,Matteo Darmian,Internazionale,0.4,20.0,2413,33,ITA
265,Leo Østigard,Napoli,0.4,14.3,1621,25,NOR
266,Diego Llorente,Roma,0.4,11.1,2173,29,ESP
266,Luca Caldirola,Monza,0.4,11.1,2139,29,ITA
268,Tommaso Augello,Cagliari,0.4,10.0,2429,32,ITA
269,Ricardo Rodriguez,Torino,0.4,9.1,2783,35,SUI
270,Sam Beukema,Bologna,0.4,8.3,2549,30,NED
270,Simone Romagnoli,Frosinone,0.4,8.3,2716,33,ITA
272,Adrien Tamèze,Torino,0.4,0.0,2154,29,FRA
272,Alessandro Vogliacco,Genoa,0.4,0.0,1171,20,ITA
272,Alessio Romagnoli,Lazio,0.4,0.0,2409,29,ITA
272,Berat Djimsiti,Atalanta,0.4,0.0,2831,37,ALB
272,Evan N'Dicka,Roma,0.4,0.0,2170,25,CIV
272,Giangiacomo Magnani,Verona,0.4,0.0,2441,33,ITA
272,Isak Hien,Atalanta,0.4,0.0,1794,26,SWE
272,Jhon Lucumi,Bologna,0.4,0.0,2214,29,COL
272,Koni De Winter,Genoa,0.4,0.0,2378,29,BEL
272,Manuel Lazzari,Lazio,0.4,0.0,1675,24,ITA
272,Marin Pongracic,Lecce,0.4,0.0,3220,36,CRO
272,Mario Gila,Lazio,0.4,0.0,1813,21,ESP
272,Mario Rui,Napoli,0.4,0.0,1205,21,POR
272,Mateusz Wieteska,Cagliari,0.4,0.0,958,19,POL
272,Matteo Ruggeri,Atalanta,0.4,0.0,2466,34,ITA
272,Maxime Lopez,Fiorentina,0.4,0.0,936,21,FRA
272,Memeh Caleb Okoli,Frosinone,0.4,0.0,2915,34,ITA
272,Nicolo Casale,Lazio,0.4,0.0,1557,20,ITA
272,Nikola Milenkovic,Fiorentina,0.4,0.0,2506,34,SRB
272,Pawel Dawidowicz,Verona,0.4,0.0,2143,28,POL
272,Ruan Tressoldi,Sassuolo,0.4,0.0,1515,26,BRA
272,Stanislav Lobotka,Napoli,0.4,0.0,3293,38,SVK
272,Thomas Kristensen,Udinese,0.4,0.0,2097,26,DEN
295,Ilario Monterisi,Frosinone,0.3,40.0,1467,24,ITA
296,Patric,Lazio,0.3,33.3,1610,20,ESP
297,Yacine Adli,Milan,0.3,25.0,1412,24,FRA
298,Michael Kayode,Fiorentina,0.3,14.3,2063,26,ITA
299,Antoine Makoumbou,Cagliari,0.3,12.5,2707,32,CGO
299,Juan Jesus,Napoli,0.3,12.5,2117,24,BRA
299,Martin Erlic,Sassuolo,0.3,12.5,2624,32,CRO
302,Aaron Caricol,Genoa,0.3,0.0,1380,22,ESP
302,Alessandro Zanoli,Salernitana,0.3,0.0,969,21,ITA
302,Armando Izzo,Monza,0.3,0.0,1653,23,ITA
302,Malick Thiaw,Milan,0.3,0.0,1620,21,GER
302,Nicolo Rovella,Lazio,0.3,0.0,1322,23,ITA
302,Pablo Mari,Monza,0.3,0.0,2616,34,ESP
302,Pedro Pereira,Monza,0.3,0.0,833,23,POR
302,Stefano Sabelli,Genoa,0.3,0.0,2448,32,ITA
310,Adam Marusic,Lazio,0.2,12.5,3106,37,MNE
311,Ardian Ismajli,Empoli,0.2,0.0,2046,26,ALB
311,Bartosz Bereszynski,Empoli,0.2,0.0,1766,24,POL
311,Elseid Hysaj,Lazio,0.2,0.0,1194,22,ALB
311,Giuseppe Pezzella,Empoli,0.2,0.0,1088,19,ITA
311,Marcus Holmgren Pedersen,Sassuolo,0.2,0.0,1605,28,NOR
311,Norbert Gyömbér,Salernitana,0.2,0.0,1762,22,SVK
311,Sebastian Walukiewicz,Empoli,0.2,0.0,2054,27,POL
311,Victor Kristiansen,Bologna,0.2,0.0,2312,32,DEN
319,Joao Ferreira,Udinese,0.1,0.0,1812,35,POR
319,Kevin Strootman,Genoa,0.1,0.0,1209,27,NED
319,Matteo Lovato,Torino,0.1,0.0,1490,26,ITA
