Rank,Player,Team,Expected Goals on Target (xGOT),Actual Goals,Minutes,Matches,Country
350,Luca Lipani,Sassuolo,0.3,0.0,387,8,ITA
350,Memeh Caleb Okoli,Frosinone,0.3,0.0,2915,34,ITA
350,Mergim Vojvoda,Torino,0.3,0.0,1372,28,KVX
350,Moise Kean,Juventus,0.3,0.0,650,19,ITA
350,Nicolo Fagioli,Juventus,0.3,0.0,440,8,ITA
350,Nikola Milenkovic,Fiorentina,0.3,0.0,2506,34,SRB
350,Pasquale Mazzocchi,Napoli,0.3,0.0,1704,28,ITA
350,Riccardo Marchizza,Frosinone,0.3,0.0,1149,13,ITA
361,Jacopo Fazzini,Empoli,0.2,1.0,1226,31,ITA
361,Mitchel Bakker,Atalanta,0.2,1.0,372,14,NED
361,Niccolo Pierozzi,Salernitana,0.2,1.0,873,12,ITA
361,Ricardo Rodriguez,Torino,0.2,1.0,2783,35,SUI
365,Adam Masina,Torino,0.2,0.0,1083,20,MAR
365,Bartosz Bereszynski,Empoli,0.2,0.0,1766,24,POL
365,Elayis Tavsan,Verona,0.2,0.0,47,3,NED
365,Elseid Hysaj,Lazio,0.2,0.0,1194,22,ALB
365,Enzo Barrenechea,Frosinone,0.2,0.0,2816,36,ARG
365,Fares Ghedjemis,Frosinone,0.2,0.0,180,6,FRA
365,Filip Kostic,Juventus,0.2,0.0,1831,29,SRB
365,Filippo Missori,Sassuolo,0.2,0.0,262,8,ITA
365,Filippo Terracciano,Verona,0.2,0.0,1368,21,ITA
365,Giulio Donati,Monza,0.2,0.0,32,4,ITA
365,Giuseppe Caso,Frosinone,0.2,0.0,409,14,ITA
365,Hans Hateboer,Atalanta,0.2,0.0,1104,23,NED
365,Jaka Bijol,Udinese,0.2,0.0,2083,24,SVN
365,Jens-Lys Cajuste,Napoli,0.2,0.0,1007,26,SWE
365,Jhon Lucumi,Bologna,0.2,0.0,2214,29,COL
365,Josh Doig,Sassuolo,0.2,0.0,2183,28,SCO
365,Karol Linetty,Torino,0.2,0.0,1860,28,POL
365,Kingsley Ehizibue,Udinese,0.2,0.0,955,23,NED
365,Luca Garritano,Frosinone,0.2,0.0,484,12,ITA
365,Mario Rui,Napoli,0.2,0.0,1205,21,POR
365,Mattia Destro,Empoli,0.2,0.0,356,15,ITA
365,Maxime Lopez,Fiorentina,0.2,0.0,936,21,FRA
365,Mehmet Zeki Celik,Roma,0.2,0.0,665,17,TUR
365,Natan,Napoli,0.2,0.0,955,14,BRA
365,Pablo Galdames,Genoa,0.2,0.0,9,2,CHI
365,Pawel Dawidowicz,Verona,0.2,0.0,2143,28,POL
365,Samuel Castillejo,Sassuolo,0.2,0.0,528,17,ESP
365,Santiago Pierotti,Lecce,0.2,0.0,190,11,ARG
365,Thomas Kristensen,Udinese,0.2,0.0,2097,26,DEN
365,Timothy Weah,Juventus,0.2,0.0,1247,30,USA
365,Victor Kristiansen,Bologna,0.2,0.0,2312,32,DEN
365,Yann Karamoh,Torino,0.2,0.0,153,10,FRA
397,Davide Biraschi,Genoa,0.1,1.0,90,1,ITA
398,Alessandro Zanoli,Salernitana,0.1,0.0,969,21,ITA
398,Anthony Oyono,Frosinone,0.1,0.0,1197,16,GAB
