Rank,Player,Team,Possessions Won in Final 3rd per 90,Possessions Won Midfield per 90,Minutes,Matches,Country
262,Gleison Bremer,Juventus,0.1,2.1,3234,36,BRA
262,Marin Pongracic,Lecce,0.1,2.1,3220,36,CRO
266,Stefan de Vrij,Internazionale,0.1,1.9,1578,25,NED
267,Bartosz Bereszynski,Empoli,0.1,1.8,1766,24,POL
267,Malick Thiaw,Milan,0.1,1.8,1620,21,GER
267,Pietro Pellegri,Torino,0.1,1.8,745,24,ITA
270,Danilo D'Ambrosio,Monza,0.1,1.7,1534,24,ITA
270,Ricardo Rodriguez,Torino,0.1,1.7,2783,35,SUI
272,Jeremy Toljan,Sassuolo,0.1,1.6,2085,25,GER
272,Mario Rui,Napoli,0.1,1.6,1205,21,POR
272,Martin Erlic,Sassuolo,0.1,1.6,2624,32,CRO
272,Matteo Lovato,Torino,0.1,1.6,1490,26,ITA
272,Sebastiano Luperto,Empoli,0.1,1.6,3407,38,ITA
277,Adam Masina,Torino,0.1,1.5,1083,20,MAR
277,Charalambos Lykogiannis,Bologna,0.1,1.5,899,22,GRE
277,Evan N'Dicka,Roma,0.1,1.5,2170,25,CIV
277,Gianluca Mancini,Roma,0.1,1.5,2872,36,ITA
277,Nehuén Pérez,Udinese,0.1,1.5,3238,36,ARG
277,Simone Romagnoli,Frosinone,0.1,1.5,2716,33,ITA
283,Alessandro Vogliacco,Genoa,0.1,1.4,1171,20,ITA
283,Chukwubuikem Ikwuemesi,Salernitana,0.1,1.4,1058,25,NGA
283,Diego Coppola,Verona,0.1,1.4,1636,24,ITA
283,Giovanni Fabbian,Bologna,0.1,1.4,1053,27,ITA
283,Josh Doig,Sassuolo,0.1,1.4,2183,28,SCO
283,Patric,Lazio,0.1,1.4,1610,20,ESP
289,Hans Hateboer,Atalanta,0.1,1.3,1104,23,NED
289,Koni De Winter,Genoa,0.1,1.3,2378,29,BEL
289,Sebastian Walukiewicz,Empoli,0.1,1.3,2054,27,POL
292,Alessandro Zanoli,Salernitana,0.1,1.2,969,21,ITA
292,Gian Marco Ferrari,Sassuolo,0.1,1.2,2268,31,ITA
292,Marko Arnautovic,Internazionale,0.1,1.2,779,27,AUT
295,Johan Vásquez,Genoa,0.1,1.1,2851,37,MEX
296,Valentin Gendrey,Lecce,0.1,1.0,3050,37,FRA
297,Memeh Caleb Okoli,Frosinone,0.0,2.4,2915,34,ITA
298,Juan Jesus,Napoli,0.0,2.3,2117,24,BRA
298,Mario Gila,Lazio,0.0,2.3,1813,21,ESP
300,Luca Ranieri,Fiorentina,0.0,1.8,2067,26,ITA
301,Fikayo Tomori,Milan,0.0,1.7,2125,26,ENG
302,Mattia Bani,Genoa,0.0,1.3,2309,27,ITA
303,Ardian Ismajli,Empoli,0.0,1.2,2046,26,ALB
304,Matteo Darmian,Internazionale,0.0,1.1,2413,33,ITA
304,Pablo Mari,Monza,0.0,1.1,2616,34,ESP
304,Thomas Kristensen,Udinese,0.0,1.1,2097,26,DEN
