Rank,Player,Team,Tackles per 90,Tackle Success Rate (%),Minutes,Matches,Country
311,Victor Osimhen,Napoli,0.2,55.6,1990,25,NGA
313,Duvan Zapata,Torino,0.2,38.9,3005,37,COL
314,Nikola Krstovic,Lecce,0.2,35.3,2390,35,MNE
315,Antonin Barak,Fiorentina,0.2,33.3,802,21,CZE
316,Kristjan Asllani,Internazionale,0.2,28.6,771,23,ALB
317,Gianluca Lapadula,Cagliari,0.1,100.0,1206,23,PER
317,Leonardo Pavoletti,Cagliari,0.1,100.0,620,19,ITA
317,Lukasz Skorupski,Bologna,0.1,100.0,2880,32,POL
320,Chukwubuikem Ikwuemesi,Salernitana,0.1,33.3,1058,25,NGA
321,Federico Bonazzoli,Verona,0.1,25.0,1014,24,ITA
322,Pietro Pellegri,Torino,0.1,20.0,745,24,ITA
323,Lorenzo Montipo,Verona,0.0,100.0,3330,37,ITA
323,Pietro Terracciano,Fiorentina,0.0,100.0,2970,33,ITA
325,Yann Sommer,Internazionale,0.0,50.0,3060,34,SUI
