Rank,Player,Team,Big Chances Created,Total Assists,Minutes,Matches,Country
237,Youssef Maleh,Empoli,1.0,1.0,2610,34,MAR
272,Adam Marusic,Lazio,1.0,0.0,3106,37,MNE
272,Alessio Romagnoli,Lazio,1.0,0.0,2409,29,ITA
272,Alex Meret,Napoli,1.0,0.0,2774,31,ITA
272,Alex Sandro,Juventus,1.0,0.0,716,16,BRA
272,Amir Rrahmani,Napoli,1.0,0.0,2602,30,KVX
272,Antoine Makoumbou,Cagliari,1.0,0.0,2707,32,CGO
272,Antonio Sanabria,Torino,1.0,0.0,2133,35,PAR
272,Armando Izzo,Monza,1.0,0.0,1653,23,ITA
272,Chris Smalling,Roma,1.0,0.0,389,8,ENG
272,Cristian Volpato,Sassuolo,1.0,0.0,632,22,ITA
272,Daniel Silva,Verona,1.0,0.0,440,14,POR
272,Daniele Rugani,Juventus,1.0,0.0,1189,17,ITA
272,Danilo Cataldi,Lazio,1.0,0.0,1360,28,ITA
272,Dodo,Fiorentina,1.0,0.0,523,9,BRA
272,El Bilal Touré,Atalanta,1.0,0.0,386,11,MLI
272,Elia Caprile,Empoli,1.0,0.0,2070,23,ITA
272,Festy Ebosele,Udinese,1.0,0.0,1705,31,IRL
272,Filippo Ranocchia,Empoli,1.0,0.0,477,9,ITA
272,Giangiacomo Magnani,Verona,1.0,0.0,2441,33,ITA
272,Gianluca Caprari,Monza,1.0,0.0,286,6,ITA
272,Giovanni Simeone,Napoli,1.0,0.0,787,28,ARG
272,Giulio Donati,Monza,1.0,0.0,32,4,ITA
272,Hamed Traorè,Napoli,1.0,0.0,383,9,CIV
272,Iron Gomis,Salernitana,1.0,0.0,130,5,FRA
272,Jaime Báez,Frosinone,1.0,0.0,502,11,URU
272,Jovane Cabral,Salernitana,1.0,0.0,680,12,CPV
272,Juan Jesus,Napoli,1.0,0.0,2117,24,BRA
272,Juan Manuel Cruz,Verona,1.0,0.0,107,4,ARG
272,Karol Swiderski,Verona,1.0,0.0,496,15,POL
272,Luca Pellegrini,Lazio,1.0,0.0,781,19,ITA
272,Mario Gila,Lazio,1.0,0.0,1813,21,ESP
272,Mattia Destro,Empoli,1.0,0.0,356,15,ITA
272,Maxime Lopez,Fiorentina,1.0,0.0,936,21,FRA
272,Mirko Maric,Monza,1.0,0.0,279,10,CRO
272,Mohamed Kaba,Lecce,1.0,0.0,1382,23,FRA
272,Moise Kean,Juventus,1.0,0.0,650,19,ITA
272,Nikola Milenkovic,Fiorentina,1.0,0.0,2506,34,SRB
272,Pablo Mari,Monza,1.0,0.0,2616,34,ESP
272,Pedro Obiang,Sassuolo,1.0,0.0,453,8,EQG
272,Pietro Terracciano,Fiorentina,1.0,0.0,2970,33,ITA
272,Rade Krunic,Milan,1.0,0.0,686,10,BIH
272,Riccardo Saponara,Verona,1.0,0.0,336,12,ITA
272,Samuel Castillejo,Sassuolo,1.0,0.0,528,17,ESP
272,Samuele Mulattieri,Sassuolo,1.0,0.0,441,27,ITA
272,Simone Bastoni,Empoli,1.0,0.0,748,16,ITA
272,Simy,Salernitana,1.0,0.0,680,15,NGA
272,Tajon Buchanan,Internazionale,1.0,0.0,151,10,CAN
272,Tommaso Pobega,Milan,1.0,0.0,314,11,ITA
272,Walace,Udinese,1.0,0.0,3243,37,BRA
272,Yann Aurel Bisseck,Internazionale,1.0,0.0,898,16,GER
272,Ylber Ramadani,Lecce,1.0,0.0,2976,34,ALB
