Rank,Player,Team,Expected Goals per 90,Goals per 90,Minutes,Matches,Country
258,Ylber Ramadani,Lecce,0.03,0.03,2976,34,ALB
261,Adrien Tamèze,Torino,0.03,0.0,2154,29,FRA
261,Alessandro Vogliacco,Genoa,0.03,0.0,1171,20,ITA
261,Berat Djimsiti,Atalanta,0.03,0.0,2831,37,ALB
261,Domagoj Bradaric,Salernitana,0.03,0.0,2753,34,CRO
261,Elseid Hysaj,Lazio,0.03,0.0,1194,22,ALB
261,Filip Kostic,Juventus,0.03,0.0,1831,29,SRB
261,Hans Hateboer,Atalanta,0.03,0.0,1104,23,NED
261,Isak Hien,Atalanta,0.03,0.0,1794,26,SWE
261,Jhon Lucumi,Bologna,0.03,0.0,2214,29,COL
261,Juan Cabal,Verona,0.03,0.0,1497,22,COL
261,Karol Linetty,Torino,0.03,0.0,1860,28,POL
261,Koni De Winter,Genoa,0.03,0.0,2378,29,BEL
261,Lassana Coulibaly,Salernitana,0.03,0.0,2086,28,MLI
261,Liberato Cacace,Empoli,0.03,0.0,1907,31,NZL
261,Malick Thiaw,Milan,0.03,0.0,1620,21,GER
261,Marin Pongracic,Lecce,0.03,0.0,3220,36,CRO
261,Mario Gila,Lazio,0.03,0.0,1813,21,ESP
261,Mergim Vojvoda,Torino,0.03,0.0,1372,28,KVX
261,Pasquale Mazzocchi,Napoli,0.03,0.0,1704,28,ITA
261,Ruan Tressoldi,Sassuolo,0.03,0.0,1515,26,BRA
261,Stefano Sabelli,Genoa,0.03,0.0,2448,32,ITA
282,Danilo Cataldi,Lazio,0.02,0.07,1360,28,ITA
282,Leonardo Spinazzola,Roma,0.02,0.07,1312,24,ITA
284,Walace,Udinese,0.02,0.06,3243,37,BRA
284,Yacine Adli,Milan,0.02,0.06,1412,24,FRA
286,Daniel Boloca,Sassuolo,0.02,0.04,2023,30,ROU
286,Diego Llorente,Roma,0.02,0.04,2173,29,ESP
286,Luca Caldirola,Monza,0.02,0.04,2139,29,ITA
286,Michael Kayode,Fiorentina,0.02,0.04,2063,26,ITA
286,Tommaso Augello,Cagliari,0.02,0.04,2429,32,ITA
291,Alessandro Zanoli,Salernitana,0.02,0.0,969,21,ITA
291,Antonino Gallo,Lecce,0.02,0.0,2500,35,ITA
291,Ardian Ismajli,Empoli,0.02,0.0,2046,26,ALB
291,Enzo Barrenechea,Frosinone,0.02,0.0,2816,36,ARG
291,Filippo Terracciano,Verona,0.02,0.0,1368,21,ITA
291,Giangiacomo Magnani,Verona,0.02,0.0,2441,33,ITA
291,Giuseppe Pezzella,Empoli,0.02,0.0,1088,19,ITA
291,Jeremy Toljan,Sassuolo,0.02,0.0,2085,25,GER
291,Joao Ferreira,Udinese,0.02,0.0,1812,35,POR
291,Josh Doig,Sassuolo,0.02,0.0,2183,28,SCO
291,Marten de Roon,Atalanta,0.02,0.0,2599,30,NED
291,Mateusz Legowski,Salernitana,0.02,0.0,1132,29,POL
291,Matteo Ruggeri,Atalanta,0.02,0.0,2466,34,ITA
291,Maxime Lopez,Fiorentina,0.02,0.0,936,21,FRA
291,Memeh Caleb Okoli,Frosinone,0.02,0.0,2915,34,ITA
291,Nikola Milenkovic,Fiorentina,0.02,0.0,2506,34,SRB
291,Pawel Dawidowicz,Verona,0.02,0.0,2143,28,POL
291,Pedro Pereira,Monza,0.02,0.0,833,23,POR
291,Stanislav Lobotka,Napoli,0.02,0.0,3293,38,SVK
310,Adam Marusic,Lazio,0.01,0.03,3106,37,MNE
310,Ricardo Rodriguez,Torino,0.01,0.03,2783,35,SUI
312,Aaron Caricol,Genoa,0.01,0.0,1380,22,ESP
312,Kevin Strootman,Genoa,0.01,0.0,1209,27,NED
312,Marcus Holmgren Pedersen,Sassuolo,0.01,0.0,1605,28,NOR
312,Mario Rui,Napoli,0.01,0.0,1205,21,POR
312,Norbert Gyömbér,Salernitana,0.01,0.0,1762,22,SVK
312,Pablo Mari,Monza,0.01,0.0,2616,34,ESP
312,Sebastian Walukiewicz,Empoli,0.01,0.0,2054,27,POL
312,Victor Kristiansen,Bologna,0.01,0.0,2312,32,DEN
320,Bartosz Bereszynski,Empoli,0.0,0.0,1766,24,POL
320,Jackson Tchatchoua,Verona,0.0,0.0,1725,26,CMR
320,Matteo Lovato,Torino,0.0,0.0,1490,26,ITA
