Rank,Player,Team,Expected Goals (xG),Actual Goals,Minutes,Matches,Country
292,Luca Garritano,Frosinone,0.7,0.0,484,12,ITA
300,Dean Huijsen,Roma,0.6,2.0,515,14,ESP
300,Oier Zarraga,Udinese,0.6,2.0,395,15,ESP
302,Agustin Martegani,Salernitana,0.6,1.0,725,18,ARG
302,Jan-Carlo Simic,Milan,0.6,1.0,143,4,SRB
302,Kristjan Asllani,Internazionale,0.6,1.0,771,23,ALB
302,Luca Caldirola,Monza,0.6,1.0,2139,29,ITA
302,Tammy Abraham,Roma,0.6,1.0,240,8,ENG
307,Enzo Barrenechea,Frosinone,0.6,0.0,2816,36,ARG
307,Giangiacomo Magnani,Verona,0.6,0.0,2441,33,ITA
307,Iron Gomis,Salernitana,0.6,0.0,130,5,FRA
307,Isak Hien,Atalanta,0.6,0.0,1794,26,SWE
307,Jeremy Toljan,Sassuolo,0.6,0.0,2085,25,GER
307,Karol Linetty,Torino,0.6,0.0,1860,28,POL
307,Lassana Coulibaly,Salernitana,0.6,0.0,2086,28,MLI
307,Liberato Cacace,Empoli,0.6,0.0,1907,31,NZL
307,Malick Thiaw,Milan,0.6,0.0,1620,21,GER
307,Marten de Roon,Atalanta,0.6,0.0,2599,30,NED
307,Memeh Caleb Okoli,Frosinone,0.6,0.0,2915,34,ITA
307,Nicolo Rovella,Lazio,0.6,0.0,1322,23,ITA
307,Pawel Dawidowicz,Verona,0.6,0.0,2143,28,POL
307,Stanislav Lobotka,Napoli,0.6,0.0,3293,38,SVK
307,Sydney van Hooijdonk,Bologna,0.6,0.0,207,9,NED
307,Toma Basic,Salernitana,0.6,0.0,1166,15,CRO
307,Yunus Musah,Milan,0.6,0.0,1468,30,USA
324,Eljif Elmas,Napoli,0.5,2.0,331,11,MKD
324,Nadir Zortea,Frosinone,0.5,2.0,1403,19,ITA
324,Oussama El Azzouzi,Bologna,0.5,2.0,536,18,MAR
327,Cristian Volpato,Sassuolo,0.5,1.0,632,22,ITA
327,Daniel Boloca,Sassuolo,0.5,1.0,2023,30,ROU
327,Jaime Báez,Frosinone,0.5,1.0,502,11,URU
327,Junior Sambia,Salernitana,0.5,1.0,1031,18,FRA
327,Keinan Davis,Udinese,0.5,1.0,180,8,ENG
327,Mathias Olivera,Napoli,0.5,1.0,1572,23,URU
327,Michael Kayode,Fiorentina,0.5,1.0,2063,26,ITA
327,Rasmus Kristensen,Roma,0.5,1.0,1743,29,DEN
327,Tommaso Augello,Cagliari,0.5,1.0,2429,32,ITA
336,Antonino Gallo,Lecce,0.5,0.0,2500,35,ITA
336,Edoardo Goldaniga,Cagliari,0.5,0.0,1013,13,ITA
336,Jean-Daniel Akpa-Akpro,Monza,0.5,0.0,700,19,CIV
336,Juan Cabal,Verona,0.5,0.0,1497,22,COL
336,Marco Davide Faraoni,Fiorentina,0.5,0.0,995,19,ITA
336,Mario Gila,Lazio,0.5,0.0,1813,21,ESP
336,Matteo Ruggeri,Atalanta,0.5,0.0,2466,34,ITA
336,Pasquale Mazzocchi,Napoli,0.5,0.0,1704,28,ITA
336,Ruan Tressoldi,Sassuolo,0.5,0.0,1515,26,BRA
336,Santiago Pierotti,Lecce,0.5,0.0,190,11,ARG
336,Simon Kjær,Milan,0.5,0.0,1171,20,DEN
347,Adam Marusic,Lazio,0.4,1.0,3106,37,MNE
347,Alex Sandro,Juventus,0.4,1.0,716,16,BRA
347,Danilo Cataldi,Lazio,0.4,1.0,1360,28,ITA
347,Diego Llorente,Roma,0.4,1.0,2173,29,ESP
347,Federico Fazio,Salernitana,0.4,1.0,1354,17,ARG
347,Josip Brekalo,Fiorentina,0.4,1.0,654,11,CRO
347,Lautaro Gianetti,Udinese,0.4,1.0,630,7,ARG
347,Ricardo Rodriguez,Torino,0.4,1.0,2783,35,SUI
347,Simone Bastoni,Empoli,0.4,1.0,748,16,ITA
356,Adam Masina,Torino,0.4,0.0,1083,20,MAR
356,Alessandro Vogliacco,Genoa,0.4,0.0,1171,20,ITA
356,Ardian Ismajli,Empoli,0.4,0.0,2046,26,ALB
356,Brenner da Silva,Udinese,0.4,0.0,185,8,BRA
356,Carlos Alcaraz,Juventus,0.4,0.0,377,10,ARG
356,Elseid Hysaj,Lazio,0.4,0.0,1194,22,ALB
356,Gvidas Gineitis,Torino,0.4,0.0,532,14,LTU
356,Jesper Karlsson,Bologna,0.4,0.0,345,7,SWE
356,Josh Doig,Sassuolo,0.4,0.0,2183,28,SCO
356,Mateusz Wieteska,Cagliari,0.4,0.0,958,19,POL
356,Mergim Vojvoda,Torino,0.4,0.0,1372,28,KVX
356,Natan,Napoli,0.4,0.0,955,14,BRA
356,Nicolo Fagioli,Juventus,0.4,0.0,440,8,ITA
356,Nikola Milenkovic,Fiorentina,0.4,0.0,2506,34,SRB
356,Pablo Mari,Monza,0.4,0.0,2616,34,ESP
356,Pantelis Hatzidiakos,Cagliari,0.4,0.0,863,13,GRE
356,Riccardo Marchizza,Frosinone,0.4,0.0,1149,13,ITA
356,Stefan Mitrovic,Verona,0.4,0.0,388,10,SRB
356,Stiven Shpendi,Empoli,0.4,0.0,407,12,ALB
375,Gaetano Castrovilli,Fiorentina,0.3,1.0,370,6,ITA
375,Leonardo Spinazzola,Roma,0.3,1.0,1312,24,ITA
375,Yacine Adli,Milan,0.3,1.0,1412,24,FRA
378,Bruno Amione,Verona,0.3,0.0,580,10,ARG
378,David Okereke,Torino,0.3,0.0,249,9,NGA
378,Filippo Missori,Sassuolo,0.3,0.0,262,8,ITA
378,Filippo Terracciano,Verona,0.3,0.0,1368,21,ITA
378,Flavius Daniliuc,Salernitana,0.3,0.0,742,14,AUT
378,Giuseppe Caso,Frosinone,0.3,0.0,409,14,ITA
378,Hans Hateboer,Atalanta,0.3,0.0,1104,23,NED
378,Joao Ferreira,Udinese,0.3,0.0,1812,35,POR
378,Matias Vina,Sassuolo,0.3,0.0,1019,15,URU
378,Samuel Castillejo,Sassuolo,0.3,0.0,528,17,ESP
378,Victor Kristiansen,Bologna,0.3,0.0,2312,32,DEN
389,Lorenzo De Silvestri,Bologna,0.2,2.0,672,15,ITA
390,Luca Pellegrini,Lazio,0.2,1.0,781,19,ITA
390,Mitchel Bakker,Atalanta,0.2,1.0,372,14,NED
390,Niccolo Pierozzi,Salernitana,0.2,1.0,873,12,ITA
390,Tajon Buchanan,Internazionale,0.2,1.0,151,10,CAN
390,Zanos Savva,Torino,0.2,1.0,26,2,CYP
395,Aaron Caricol,Genoa,0.2,0.0,1380,22,ESP
395,Alessandro Zanoli,Salernitana,0.2,0.0,969,21,ITA
395,Angelino,Roma,0.2,0.0,1148,16,ESP
395,Anthony Oyono,Frosinone,0.2,0.0,1197,16,GAB
395,Berkan Kutlu,Genoa,0.2,0.0,192,6,TUR
395,David Ankeye,Genoa,0.2,0.0,52,6,NGA
395,Djed Spence,Genoa,0.2,0.0,853,16,ENG
395,Filippo Ranocchia,Empoli,0.2,0.0,477,9,ITA
395,Giuseppe Pezzella,Empoli,0.2,0.0,1088,19,ITA
395,Jordi Mboula,Verona,0.2,0.0,304,11,ESP
395,Jose Machin,Monza,0.2,0.0,232,10,EQG
395,Juan Cuadrado,Internazionale,0.2,0.0,258,10,COL
395,Mateusz Legowski,Salernitana,0.2,0.0,1132,29,POL
395,Mattia Caldara,Milan,0.2,0.0,32,1,ITA
395,Maxime Lopez,Fiorentina,0.2,0.0,936,21,FRA
395,Medon Berisha,Lecce,0.2,0.0,204,6,ALB
395,Mehmet Zeki Celik,Roma,0.2,0.0,665,17,TUR
395,Norbert Gyömbér,Salernitana,0.2,0.0,1762,22,SVK
