Rank,Player,Team,Chances Created,Chances Created per 90,Minutes,Matches,Country
345,Ilario Monterisi,Frosinone,5.0,0.3,1467,24,ITA
345,Norbert Gyömbér,Salernitana,5.0,0.3,1762,22,SVK
347,Juan Jesus,Napoli,5.0,0.2,2117,24,BRA
347,Koni De Winter,Genoa,5.0,0.2,2378,29,BEL
347,Luca Caldirola,Monza,5.0,0.2,2139,29,ITA
347,Memeh Caleb Okoli,Frosinone,5.0,0.2,2915,34,ITA
351,Emil Konradsen Ceide,Sassuolo,4.0,2.2,165,11,NOR
352,Samuel Vignato,Monza,4.0,1.1,339,10,ITA
353,Lorenzo Venuti,Lecce,4.0,1.0,357,14,ITA
354,Filippo Ranocchia,Empoli,4.0,0.8,477,9,ITA
355,Alberto Cerri,Empoli,4.0,0.7,553,12,ITA
355,Luca Garritano,Frosinone,4.0,0.7,484,12,ITA
357,Pietro Pellegri,Torino,4.0,0.5,745,24,ITA
358,Edoardo Goldaniga,Cagliari,4.0,0.4,1013,13,ITA
358,Emil Holm,Atalanta,4.0,0.4,948,22,SWE
358,Natan,Napoli,4.0,0.4,955,14,BRA
358,Szymon Zurkowski,Empoli,4.0,0.4,871,13,POL
362,Ibrahim Sulemana,Cagliari,4.0,0.3,1342,21,GHA
362,Simon Kjær,Milan,4.0,0.3,1171,20,DEN
364,Ardian Ismajli,Empoli,4.0,0.2,2046,26,ALB
364,Danilo D'Ambrosio,Monza,4.0,0.2,1534,24,ITA
364,Diego Coppola,Verona,4.0,0.2,1636,24,ITA
364,Diego Llorente,Roma,4.0,0.2,2173,29,ESP
364,Fikayo Tomori,Milan,4.0,0.2,2125,26,ENG
364,Jhon Lucumi,Bologna,4.0,0.2,2214,29,COL
364,Malick Thiaw,Milan,4.0,0.2,1620,21,GER
364,Patric,Lazio,4.0,0.2,1610,20,ESP
364,Ruan Tressoldi,Sassuolo,4.0,0.2,1515,26,BRA
364,Thomas Kristensen,Udinese,4.0,0.2,2097,26,DEN
374,Alessandro Buongiorno,Torino,4.0,0.1,2530,29,ITA
374,Pablo Mari,Monza,4.0,0.1,2616,34,ESP
376,Giulio Donati,Monza,3.0,8.4,32,4,ITA
377,Stefano Sensi,Internazionale,3.0,6.3,43,4,ITA
378,Iron Gomis,Salernitana,3.0,2.1,130,5,FRA
379,Renato Sanches,Roma,3.0,1.9,142,7,POR
380,Keinan Davis,Udinese,3.0,1.5,180,8,ENG
381,Davy Klaassen,Internazionale,3.0,1.4,196,13,NED
382,Tammy Abraham,Roma,3.0,1.1,240,8,ENG
383,Jordi Mboula,Verona,3.0,0.9,304,11,ESP
384,Mattia Destro,Empoli,3.0,0.8,356,15,ITA
384,Riccardo Saponara,Verona,3.0,0.8,336,12,ITA
386,Giuseppe Caso,Frosinone,3.0,0.7,409,14,ITA
386,Luca Lipani,Sassuolo,3.0,0.7,387,8,ITA
386,Mitchel Bakker,Atalanta,3.0,0.7,372,14,NED
386,Nemanja Radonjic,Torino,3.0,0.7,373,10,SRB
386,Stefan Mitrovic,Verona,3.0,0.7,388,10,SRB
391,Daniel Silva,Verona,3.0,0.6,440,14,POR
392,Ridgeciano Haps,Genoa,3.0,0.4,770,16,SUR
393,Adam Masina,Torino,3.0,0.2,1083,20,MAR
393,Daniele Rugani,Juventus,3.0,0.2,1189,17,ITA
393,Federico Fazio,Salernitana,3.0,0.2,1354,17,ARG
393,Leo Østigard,Napoli,3.0,0.2,1621,25,NOR
393,Matteo Gabbia,Milan,3.0,0.2,1276,18,ITA
393,Matteo Lovato,Salernitana,3.0,0.2,1490,26,ITA
399,Jaka Bijol,Udinese,3.0,0.1,2083,24,SVN
399,Mike Maignan,Milan,3.0,0.1,2609,29,FRA
399,Sebastian Walukiewicz,Empoli,3.0,0.1,2054,27,POL
399,Simone Romagnoli,Frosinone,3.0,0.1,2716,33,ITA
403,Charlys,Verona,2.0,7.5,24,2,BRA
404,Michel Ndary Adopo,Atalanta,2.0,1.8,101,10,FRA
405,Marco Mancosu,Cagliari,2.0,1.2,156,6,ITA
405,Tajon Buchanan,Internazionale,2.0,1.2,151,10,CAN
407,Brenner da Silva,Udinese,2.0,1.0,185,8,BRA
407,Fares Ghedjemis,Frosinone,2.0,1.0,180,6,FRA
