Rank,Player,Team,Clearances per 90,Total Clearances,Minutes,Matches,Country
279,Guillermo Ochoa,Salernitana,0.5,11.0,1890,21,MEX
280,Maxime Lopez,Fiorentina,0.5,5.0,936,21,FRA
281,Ismael Bennacer,Milan,0.5,7.0,1151,20,ALG
282,Andrea Colpani,Monza,0.4,12.0,2683,38,ITA
283,Walid Cheddira,Frosinone,0.4,10.0,2130,36,MAR
284,Arthur,Fiorentina,0.4,8.0,1993,33,BRA
285,Dusan Vlahovic,Juventus,0.4,11.0,2317,33,SRB
286,Luis Alberto,Lazio,0.4,10.0,2323,33,ESP
287,Nikola Vlasic,Torino,0.4,11.0,2614,33,CRO
288,Stefano Turati,Frosinone,0.4,12.0,2745,31,ITA
289,Alexis Saelemaekers,Bologna,0.4,9.0,1892,30,BEL
290,Daichi Kamada,Lazio,0.4,7.0,1543,29,JPN
291,Mike Maignan,Milan,0.4,11.0,2609,29,FRA
292,Nicolás González,Fiorentina,0.4,8.0,1913,29,ARG
293,Ruben Loftus-Cheek,Milan,0.4,10.0,2081,29,ENG
294,Jonathan Ikoné,Fiorentina,0.4,7.0,1685,28,FRA
295,Nedim Bajrami,Sassuolo,0.4,6.0,1312,28,ALB
296,Samuele Mulattieri,Sassuolo,0.4,2.0,441,27,ITA
297,Grigoris Kastanos,Salernitana,0.4,7.0,1486,26,CYP
298,Nicolas Viola,Cagliari,0.4,6.0,1202,26,ITA
299,Fabio Miretti,Juventus,0.4,5.0,1104,25,ITA
300,Pietro Pellegri,Torino,0.4,3.0,745,24,ITA
301,Gianluca Lapadula,Cagliari,0.4,5.0,1206,23,PER
302,Eldor Shomurodov,Cagliari,0.4,4.0,933,22,UZB
303,Reinier,Frosinone,0.4,5.0,1064,22,BRA
304,Antonin Barak,Fiorentina,0.4,4.0,802,21,CZE
304,Alessio Zerbin,Monza,0.4,4.0,829,20,ITA
306,Giacomo Raspadori,Napoli,0.3,5.0,1572,37,ITA
307,Matteo Politano,Napoli,0.3,8.0,2384,37,ITA
308,Nicolo Barella,Internazionale,0.3,11.0,2860,37,ITA
308,Albert Gudmundsson,Genoa,0.3,11.0,3022,35,ISL
310,Lautaro Martinez,Internazionale,0.3,9.0,2668,33,ARG
311,Giacomo Bonaventura,Fiorentina,0.3,8.0,2285,31,ITA
312,Valentin Carboni,Monza,0.3,4.0,1158,31,ARG
313,Pontus Almqvist,Lecce,0.3,8.0,2115,30,SWE
314,Andrea Belotti,Fiorentina,0.3,6.0,1624,29,ITA
314,Paulo Dybala,Roma,0.3,6.0,1973,28,ARG
316,Aleksey Miranchuk,Atalanta,0.3,4.0,1170,27,RUS
317,Kenan Yildiz,Juventus,0.3,3.0,945,27,TUR
317,Federico Bonazzoli,Verona,0.3,3.0,1014,24,ITA
319,Lameck Banda,Lecce,0.3,4.0,1358,21,ZAM
320,Armand Laurienté,Sassuolo,0.2,7.0,2926,37,FRA
321,Nicolo Cambiaghi,Empoli,0.2,6.0,2562,37,ITA
322,Christian Pulisic,Milan,0.2,7.0,2620,36,USA
323,Matias Soulé,Frosinone,0.2,8.0,3136,36,ARG
324,Charles De Ketelaere,Atalanta,0.2,5.0,2042,35,BEL
325,Khvicha Kvaratskhelia,Napoli,0.2,7.0,2750,34,GEO
326,Federico Chiesa,Juventus,0.2,4.0,2207,33,ITA
327,Arkadiusz Milik,Juventus,0.2,2.0,902,32,POL
328,Tomas Suslov,Verona,0.2,5.0,2094,32,SVK
329,Gustav Isaksen,Lazio,0.2,2.0,1069,28,DEN
330,Tommaso Baldanzi,Roma,0.2,3.0,1259,27,ITA
331,Samuel Chukwueze,Milan,0.2,2.0,1012,24,NGA
331,Alexis Sánchez,Internazionale,0.2,2.0,751,23,CHI
331,Riccardo Sottil,Fiorentina,0.2,2.0,1108,22,ITA
334,Francesco Caputo,Empoli,0.2,3.0,1274,20,ITA
335,Pedro Rodriguez,Lazio,0.1,1.0,798,33,ESP
335,Florian Thauvin,Udinese,0.1,1.0,1713,29,FRA
337,Rui Patricio,Roma,0.1,3.0,2070,23,POR
338,Demba Seck,Frosinone,0.1,1.0,718,20,SEN
339,Zito Luvumbo,Cagliari,0.0,1.0,1947,30,ANG
