Rank,Player,Team,Accurate Long Balls per 90,Successful Long Balls (%),Minutes,Matches,Country
272,Jonathan Ikoné,Fiorentina,0.6,57.9,1685,28,FRA
273,Gregoire Defrel,Sassuolo,0.6,55.6,751,20,MTQ
274,Festy Ebosele,Udinese,0.6,47.8,1705,31,IRL
275,Timothy Weah,Juventus,0.6,47.1,1247,30,USA
276,Kenan Yildiz,Juventus,0.6,46.2,945,27,TUR
277,Armand Laurienté,Sassuolo,0.6,44.7,2926,37,FRA
278,Francesco Gelli,Frosinone,0.6,40.0,1558,27,ITA
278,Mateusz Legowski,Salernitana,0.6,40.0,1132,29,POL
280,Leonardo Pavoletti,Cagliari,0.6,36.4,620,19,ITA
281,Kingsley Ehizibue,Udinese,0.6,30.0,955,23,NED
282,Marvin Cuni,Frosinone,0.5,75.0,522,22,ALB
283,Dusan Vlahovic,Juventus,0.5,63.2,2317,33,SRB
284,Lameck Banda,Lecce,0.5,61.5,1358,21,ZAM
285,Nikola Krstovic,Lecce,0.5,59.1,2390,35,MNE
286,Valentin Castellanos,Lazio,0.5,50.0,1676,35,ARG
287,Federico Chiesa,Juventus,0.4,71.4,2207,33,ITA
288,Kaio Jorge,Frosinone,0.4,66.7,805,20,BRA
289,Francesco Caputo,Empoli,0.4,62.5,1274,20,ITA
290,Ademola Lookman,Atalanta,0.4,52.9,1899,31,NGA
291,Morten Thorsby,Genoa,0.4,38.5,1143,24,NOR
292,Gustav Isaksen,Lazio,0.4,21.7,1069,28,DEN
293,Walid Cheddira,Frosinone,0.3,100.0,2130,36,MAR
294,Lorenzo Lucca,Udinese,0.3,83.3,2600,37,ITA
295,Pontus Almqvist,Lecce,0.3,72.7,2115,30,SWE
296,Demba Seck,Torino,0.3,66.7,718,20,SEN
297,Ciro Immobile,Lazio,0.3,54.5,1656,31,ITA
298,Marko Arnautovic,Internazionale,0.3,50.0,779,27,AUT
299,Christian Pulisic,Milan,0.3,47.4,2620,36,USA
300,Ruben Loftus-Cheek,Milan,0.3,43.8,2081,29,ENG
301,Chukwubuikem Ikwuemesi,Salernitana,0.3,42.9,1058,25,NGA
301,Noah Okafor,Milan,0.3,42.9,869,28,SUI
303,Andrea Pinamonti,Sassuolo,0.3,37.0,3100,38,ITA
304,Giovanni Fabbian,Bologna,0.3,33.3,1053,27,ITA
304,Giovanni Simeone,Napoli,0.3,33.3,787,28,ARG
306,Matteo Cancellieri,Empoli,0.3,25.0,1784,36,ITA
307,Olivier Giroud,Milan,0.2,66.7,2372,35,FRA
307,Pietro Pellegri,Torino,0.2,66.7,745,24,ITA
309,Andrea Belotti,Fiorentina,0.2,57.1,1624,29,ITA
310,Romelu Lukaku,Roma,0.2,53.8,2644,32,BEL
311,Gianluca Lapadula,Cagliari,0.2,50.0,1206,23,PER
311,Luka Jovic,Milan,0.2,50.0,867,23,SRB
313,Victor Osimhen,Napoli,0.2,44.4,1990,25,NGA
314,Marcus Thuram,Internazionale,0.2,42.9,2707,35,FRA
315,Eldor Shomurodov,Cagliari,0.2,33.3,933,22,UZB
316,Zito Luvumbo,Cagliari,0.2,31.3,1947,30,ANG
317,Samuele Mulattieri,Sassuolo,0.2,25.0,441,27,ITA
318,Emmanuel Quartsin Gyasi,Empoli,0.2,20.0,1873,33,GHA
318,Sardar Azmoun,Roma,0.2,20.0,571,23,IRN
320,Roberto Piccoli,Lecce,0.1,50.0,1397,37,ITA
321,Mateo Retegui,Genoa,0.1,40.0,2225,29,ITA
322,Milan Djuric,Verona,0.1,30.8,2464,37,BIH
